DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
24-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.09,3,3,-,-,"157,900",-
24-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,10.3,10.5,10.35,10.3,0.05,0.49%,"3,600",-
24-Jan-20,SLAM,Sanlam Kenya Plc,12.8,19.5,17,18.8,17.3,17.5,-0.2,1.14%,"8,900",-
27-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.2,9.5,9.32,9.24,0.08,0.87%,"45,100",-
27-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.85,2.95,2.86,2.92,-0.06,2.05%,"24,700",-
27-Jan-20,JUB,Jubilee Holdings Ltd,225,380,360,360,360,360,-,-,-,-
27-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.05,3,3,-,-,"160,900",-
27-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,10,10.05,10,10.35,-0.35,3.38%,"1,200",-
27-Jan-20,SLAM,Sanlam Kenya Plc,12.8,19.5,18,18,18,17.3,0.7,4.05%,500,-
28-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.2,9.48,9.28,9.32,-0.04,0.43%,"53,900",-
28-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.86,2.95,2.92,2.86,0.06,2.10%,"77,500",-
28-Jan-20,JUB,Jubilee Holdings Ltd,225,380,360,360,360,360,-,-,"3,900",-
28-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.98,3.09,3,3,-,-,"259,500",-
28-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,10.35,10.35,10.35,10,0.35,3.50%,"23,500",-
28-Jan-20,SLAM,Sanlam Kenya Plc,12.8,19.5,18,18,18,18,-,-,200,-
29-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.2,9.4,9.2,9.28,-0.08,0.86%,"102,400",-
29-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.86,2.95,2.9,2.92,-0.02,0.68%,"87,500",-
29-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,360,360,360,360,-,-,600,-
29-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.1,3.02,3,0.02,0.67%,"76,100",-
29-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.35,10.4,10.35,10.35,-,-,"2,100",-
29-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,17,18,17.55,18,-0.45,2.50%,"1,800",-
30-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,8.84,9.08,8.96,9.2,-0.24,2.61%,"95,200",-
30-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.8,2.9,2.82,2.9,-0.08,2.76%,"127,100",-
30-Jan-20,JUB,Jubilee Holdings Ltd,225,380,360,360,360,360,-,-,-,-
30-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.98,3.1,3.01,3.02,-0.01,0.33%,"340,000",-
30-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,10.3,10.4,10.4,10.35,0.05,0.48%,"1,200",-
30-Jan-20,SLAM,Sanlam Kenya Plc,12.8,19.5,17.55,17.55,17.55,17.55,-,-,-,-
31-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,8.72,8.98,8.76,8.96,-0.2,2.23%,"11,300",-
31-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.8,2.9,2.87,2.82,0.05,1.77%,"17,800",-
31-Jan-20,JUB,Jubilee Holdings Ltd,225,381,360,360,360,360,-,-,"100,500",-
31-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.95,3.1,3,3.01,-0.01,0.33%,"226,300",-
31-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,10.3,10.3,10.3,10.4,-0.1,0.96%,"30,200",-
31-Jan-20,SLAM,Sanlam Kenya Plc,13,20,17.55,17.55,17.55,17.55,-,-,-,-
03-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.98,9,9,8.76,0.24,2.74%,"21,800",-
03-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.8,2.9,2.86,2.87,-0.01,0.35%,"59,000",-
03-Feb-20,JUB,Jubilee Holdings Ltd,225,380.5,360,360,360,360,-,-,"7,000",-
03-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.85,3.01,2.96,3,-0.04,1.33%,"63,300",-
03-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.3,10.3,10.3,10.3,-,-,"1,000",-
03-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,17.7,17.7,17.7,17.55,0.15,0.85%,"2,500",-
04-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.96,9,9,9,-,-,"44,700",-
04-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.8,2.87,2.81,2.86,-0.05,1.75%,"123,100",-
04-Feb-20,JUB,Jubilee Holdings Ltd,225,381,352,355,353.25,360,-6.75,1.88%,"2,200",-
04-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.99,3.01,3,2.96,0.04,1.35%,"181,800",-
04-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,10.3,10.3,10.3,10.3,-,-,"3,000",-
04-Feb-20,SLAM,Sanlam Kenya Plc,13,20,17.7,17.7,17.7,17.7,-,-,-,-
05-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.6,8.96,8.9,9,-0.1,1.11%,"45,500",-
05-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.76,2.85,2.8,2.81,-0.01,0.36%,"69,200",-
05-Feb-20,JUB,Jubilee Holdings Ltd,225,380,352,352,352,353.25,-1.25,0.35%,400,-
05-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.96,3.01,2.99,3,-0.01,0.33%,"134,500",-
05-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9.86,10.3,10.2,10.3,-0.1,0.97%,"1,000",-
05-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,17.7,17.7,17.7,17.7,-,-,-,-
06-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.7,9.2,8.84,8.9,-0.06,0.67%,"104,100",-
06-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.8,2.8,2.8,2.8,-,-,"30,900",-
06-Feb-20,JUB,Jubilee Holdings Ltd,225,381,352,352,352,352,-,-,"123,600",-
06-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.92,3,2.98,2.99,-0.01,0.33%,"74,600",-
06-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,10.3,10.3,10.3,10.2,0.1,0.98%,"5,100",-
06-Feb-20,SLAM,Sanlam Kenya Plc,13,20,16,17.7,16.25,17.7,-1.45,8.19%,"5,400",-
07-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.5,9.2,8.66,8.84,-0.18,2.04%,"107,400",-
07-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.55,2.8,2.62,2.8,-0.18,6.43%,"397,600",-
07-Feb-20,JUB,Jubilee Holdings Ltd,225,380.5,352,352.25,352,352,-,-,"4,500",-
07-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.95,3.05,2.99,2.98,0.01,0.34%,"80,400",-
07-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9.5,10.1,9.5,10.3,-0.8,7.77%,"65,400",-
07-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,17.7,17.7,17.7,16.25,1.45,8.92%,"3,000",-
10-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.26,9.2,8.52,8.66,-0.14,1.62%,"24,000",-
10-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.6,2.8,2.62,2.62,-,-,"89,100",-
10-Feb-20,JUB,Jubilee Holdings Ltd,225,380.5,352,352,352,352,-,-,-,-
10-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.92,3,2.97,2.99,-0.02,0.67%,"154,900",-
10-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9.5,10,9.52,9.5,0.02,0.21%,"3,700",-
10-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,17.1,17.1,17.1,17.7,-0.6,3.39%,100,-
12-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.8,9,8.9,8.52,0.38,4.46%,"17,300",-
12-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.62,2.8,2.67,2.62,0.05,1.91%,"39,200",-
12-Feb-20,JUB,Jubilee Holdings Ltd,225,380,350,352,351.5,352,-0.5,0.14%,"3,600",-
12-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.96,3,3,2.97,0.03,1.01%,"145,500",-
12-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9.5,10,9.7,9.52,0.18,1.89%,"1,700",-
12-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,17,18.8,17.05,17.1,-0.05,0.29%,"5,700",-
13-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.8,9,9,8.9,0.1,1.12%,"20,200",-
13-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.6,2.75,2.66,2.67,-0.01,0.37%,"122,700",-
13-Feb-20,JUB,Jubilee Holdings Ltd,225,380.5,360,360,360,351.5,8.5,2.42%,"1,500",-
13-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.97,3,3,3,-,-,"33,300",-
13-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9.5,9.6,9.52,9.7,-0.18,1.86%,"1,000",-
13-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,17.05,17.05,17.05,17.05,-,-,-,-
14-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.62,8.9,8.7,9,-0.3,3.33%,"38,200",-
14-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.53,2.75,2.57,2.66,-0.09,3.38%,"146,900",-
14-Feb-20,JUB,Jubilee Holdings Ltd,225,380.5,355,360,355.75,360,-4.25,1.18%,"5,800",-
14-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.92,3,2.99,3,-0.01,0.33%,"97,400",-
14-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9.5,9.52,9.52,9.52,-,-,"8,300",-
14-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,18,18,18,17.05,0.95,5.57%,"1,000",-
17-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.6,8.8,8.62,8.7,-0.08,0.92%,"37,400",-
17-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.57,2.66,2.6,2.57,0.03,1.17%,"55,500",-
17-Feb-20,JUB,Jubilee Holdings Ltd,225,380.5,355,360,356.75,355.75,1,0.28%,"1,500",-
17-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.91,2.99,2.97,2.99,-0.02,0.67%,"19,000",-
17-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10,10,10,9.52,0.48,5.04%,100,-
17-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,17.7,18,17.85,18,-0.15,0.83%,"11,300",-
18-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.6,9,8.88,8.62,0.26,3.02%,"132,600",-
18-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.61,2.66,2.66,2.6,0.06,2.31%,"65,500",-
18-Feb-20,JUB,Jubilee Holdings Ltd,225,380.5,355,355,355,356.75,-1.75,0.49%,200,-
18-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.96,3,2.99,2.97,0.02,0.67%,"558,800",-
18-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9,10,9.2,10,-0.8,8.00%,"3,000",-
18-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,18.7,18.7,18.7,17.85,0.85,4.76%,100,-
19-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.04,9,8.56,8.88,-0.32,3.60%,"59,900",-
19-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.61,2.7,2.66,2.66,-,-,"235,000",-
19-Feb-20,JUB,Jubilee Holdings Ltd,225,380,351,355,353.75,355,-1.25,0.35%,700,-
19-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.97,3.1,2.97,2.99,-0.02,0.67%,"1,234,700",-
19-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9.98,9.98,9.98,9.2,0.78,8.48%,"1,000",-
19-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,17.05,18.8,18.45,18.7,-0.25,1.34%,"2,500",-
20-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8.1,8.58,8.48,8.56,-0.08,0.93%,"61,500",-
20-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.65,2.8,2.68,2.66,0.02,0.75%,"42,300",-
20-Feb-20,JUB,Jubilee Holdings Ltd,225,381,353.75,353.75,353.75,353.75,-,-,-,-
20-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.97,3,2.99,2.97,0.02,0.67%,"1,599,400",-
20-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,9,9,9,9.98,-0.98,9.82%,"1,600",-
20-Feb-20,SLAM,Sanlam Kenya Plc,13,20,18.45,18.45,18.45,18.45,-,-,-,-
21-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,7.82,8.5,8.08,8.48,-0.4,4.72%,"86,700",-
21-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.65,2.8,2.68,2.68,-,-,"16,300",-
21-Feb-20,JUB,Jubilee Holdings Ltd,225,380,350.5,354,352.5,353.75,-1.25,0.35%,"3,800",-
21-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.94,3,2.98,2.99,-0.01,0.33%,"706,600",-
21-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9.5,9.5,9.5,9,0.5,5.56%,100,-
21-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,16.65,17,16.65,18.45,-1.8,9.76%,"2,100",-
24-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,8,8.5,8.14,8.08,0.06,0.74%,"22,400",-
24-Feb-20,CIC,CIC Insurance Group Ltd,2,3.65,2.65,2.8,2.69,2.68,0.01,0.37%,"40,600",-
24-Feb-20,JUB,Jubilee Holdings Ltd,225,380.5,353,353,353,352.5,0.5,0.14%,700,-
24-Feb-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.99,3.01,3,2.98,0.02,0.67%,"15,600",-
24-Feb-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,9.5,9.9,9.5,9.5,-,-,"8,400",-
24-Feb-20,SLAM,Sanlam Kenya Plc,12.8,20,16.65,18,16.7,16.65,0.05,0.30%,"5,200",-
25-Feb-20,BRIT,Britam Holdings Plc,5.7,10.65,7.34,8.48,7.44,8.14,-0.7,8.60%,"169,300",-
